"","Common.Name","County","n","state"
"1","Blue","Los Angeles",1,"California"
"2","Blue","Marin",1,"California"
"3","Blue","Monterey",1,"California"
"4","Blue","San Francisco",1,"California"
"5","Blue","San Mateo",2,"California"
"6","Blue","Santa Barbara",1,"California"
"7","Fin","Alameda",3,"California"
"8","Fin","Grays Harbor",1,"Washington"
"9","Fin","King",1,"Washington"
"10","Fin","Los Angeles",4,"California"
"11","Fin","Marin",2,"California"
"12","Fin","Pierce",1,"Washington"
"13","Fin","San Diego",2,"California"
"14","Fin","San Francisco",1,"California"
"15","Fin","Ventura",2,"California"
"16","Gray","Alameda",2,"California"
"17","Gray","Clallam",1,"Washington"
"18","Gray","Contra Costa",1,"California"
"19","Gray","Curry",1,"Oregon"
"20","Gray","Grays Harbor",3,"Washington"
"21","Gray","Jefferson",1,"Washington"
"22","Gray","King",2,"Washington"
"23","Gray","Los Angeles",4,"California"
"24","Gray","Marin",4,"California"
"25","Gray","Orange",1,"California"
"26","Gray","San Diego",3,"California"
"27","Gray","San Francisco",1,"California"
"28","Gray","San Mateo",3,"California"
"29","Gray","Santa Barbara",1,"California"
"30","Gray","Santa Cruz",1,"California"
"31","Gray","Ventura",1,"California"
"32","Humpback","Clallam",1,"Washington"
"33","Humpback","Clatsop",1,"Oregon"
"34","Humpback","King",1,"Washington"
"35","Humpback","Los Angeles",2,"California"
"36","Humpback","Marin",6,"California"
"37","Humpback","San Diego",3,"California"
"38","Humpback","San Francisco",1,"California"
"39","Humpback","San Mateo",3,"California"
"40","Minke","Clallam",1,"Washington"
"41","Minke","Marin",1,"California"
"42","Sei","Los Angeles",1,"California"
"43","Sei","Orange",1,"California"
"44","Sperm","Pacific",1,"Washington"
"45","Unknown","Monterey",2,"California"
