"","Common.Name","Month","n"
"1","Blue","05",1
"2","Blue","06",2
"3","Blue","08",2
"4","Blue","10",2
"5","Fin","01",1
"6","Fin","02",1
"7","Fin","04",3
"8","Fin","05",3
"9","Fin","06",3
"10","Fin","07",1
"11","Fin","08",1
"12","Fin","09",1
"13","Fin","10",1
"14","Fin","11",1
"15","Fin","12",1
"16","Gray","01",2
"17","Gray","02",2
"18","Gray","03",8
"19","Gray","04",6
"20","Gray","05",6
"21","Gray","06",3
"22","Gray","07",1
"23","Gray","08",1
"24","Gray","09",1
"25","Humpback","03",1
"26","Humpback","05",2
"27","Humpback","06",3
"28","Humpback","07",4
"29","Humpback","08",2
"30","Humpback","09",2
"31","Humpback","10",4
"32","Minke","03",1
"33","Minke","09",1
"34","Sei","06",1
"35","Sei","08",1
"36","Sperm","01",1
"37","Unknown","10",2
